DeVonta Smith,26,6,72,170,89,Alabama,4,PHI,WR
Erik McCoy,28,78,76,303,89,Texas AM,6,NO,C
Garett Bolles,33,72,77,300,89,Utah,8,DEN,LT
James Cook,25,4,71,190,89,Georgia,3,BUF,HB
Jaylon Johnson,26,1,72,196,89,Utah,5,CHI,CB
Nico Collins,26,12,76,215,89,Michigan,4,HST,WR
Will Anderson Jr,23,51,76,263,89,Alabama,2,HST,LE
A.J. Terrell Jr,26,24,73,195,88,Clemson,5,ATL,CB
Alex Highsmith,28,56,76,242,88,Charlotte,5,PIT,RE
Andrew Thomas,26,78,77,315,88,Georgia,5,,LT
DeForest Buckner,31,99,79,295,88,Oregon,9,IND,DT
Devon Witherspoon,24,21,72,180,88,Illinois,2,SEA,CB
Greg Rousseau,25,50,78,266,88,Miami,4,BUF,LE
Harrison Smith,36,22,74,211,88,Notre Dame,13,MIN,FS
Jonathan Taylor,26,28,70,226,88,Wisconsin,5,IND,HB
Jonathan Allen,30,93,75,300,88,Alabama,8,MIN,DT
Kenneth Walker III,24,9,69,211,88,Michigan St.,3,SEA,HB
Kenny Moore II,30,23,69,190,88,Valdosta St.,8,IND,CB
Kyle Juszczyk,34,44,74,235,88,Harvard,12,SF,FB
Landon Dickerson,26,69,78,332,88,Alabama,4,PHI,LG
Lavonte David,35,54,73,233,88,Nebraska,13,TB,MLB
Matthew Stafford,37,9,75,220,88,Georgia,16,LAR,QB
Puka Nacua,24,12,73,206,88,BYU,2,LAR,WR
Stefon Diggs,31,8,72,191,88,Maryland,10,NE,WR
T.J. Hockenson,28,87,77,248,88,Iowa,6,MIN,TE
Tyler Smith,24,73,78,332,88,Tulsa,3,DAL,LG
Tyler Linderbaum,25,64,74,305,88,Iowa,3,BLT,C
Zack Baun,28,53,74,225,88,Wisconsin,5,PHI,ROLB
Brandon Aubrey,30,17,75,200,87,Notre Dame,3,DAL,K
Brandon Aiyuk,27,11,72,200,87,Arizona St.,5,SF,WR
Bucky Irving,23,7,70,195,87,Oregon,1,TB,HB
Charvarius Ward,29,7,73,196,87,Mid Tenn St.,7,IND,CB
Dallas Goedert,30,88,77,256,87,S. Dakota St.,7,PHI,TE
DaRon Bland,26,26,72,197,87,Fresno State,3,DAL,CB
DeMarcus Lawrence,33,0,75,265,87,Boise State,11,SEA,LE
Elgton Jenkins,29,74,77,311,87,Mississippi St.,6,GB,C
Foyesade Oluokun,30,23,74,230,87,Yale,7,JAX,MLB
Jared Goff,30,16,76,223,87,California,9,DET,QB
Justin Reid,28,21,73,207,87,Stanford,7,NO,FS
Khalil Mack,34,52,75,269,87,Buffalo,11,LAC,RE
Kolton Miller,29,74,80,325,87,UCLA,7,LV,LT
Leonard Williams,31,99,77,302,87,USC,10,SEA,DT
Malik Nabers,22,1,72,199,87,LSU,1,,WR
Nick Chubb,29,21,71,227,87,Georgia,7,HST,HB
Sam Cosmi,26,76,78,309,87,Texas,4,WAS,RG
Taylor Decker,31,68,79,318,87,Ohio State,9,DET,LT
Tee Higgins,26,5,76,219,87,Clemson,5,CIN,WR
Zach Tom,26,50,76,304,87,Wake Forest,3,GB,RT
Bobby Okereke,29,58,73,235,86,Stanford,6,,MLB
Brian O'Neill,29,75,79,310,86,Pittsburgh,7,MIN,RT
Brian Burns,27,0,77,250,86,Florida State,6,,RE
Chris Olave,25,12,72,187,86,Ohio State,3,NO,WR
Cooper Kupp,32,10,74,208,86,Eastern Wash.,8,SEA,WR
DJ Moore,28,2,72,210,86,Maryland,7,CHI,WR
Dre Greenlaw,28,57,72,230,86,Arkansas,6,DEN,MLB
Garrett Wilson,25,5,72,192,86,Ohio State,3,,WR
Jabrill Peppers,29,5,71,215,86,Michigan,8,NE,FS
Jake Matthews,33,70,77,309,86,Texas AM,11,ATL,LT
Jalen Hurts,27,1,73,223,86,Oklahoma,5,PHI,QB
Jamel Dean,28,35,73,206,86,Auburn,6,TB,CB
Jared Verse,24,8,76,254,86,Florida State,1,LAR,LE
Jaxon Smith-Njigba,23,11,73,200,86,Ohio State,2,SEA,WR
Jaycee Horn,25,8,73,200,86,South Carolina,4,CAR,CB
Julian Love,27,20,71,195,86,Notre Dame,6,SEA,FS
Justin Herbert,27,10,78,236,86,Oregon,5,LAC,QB
Kyren Williams,25,23,69,194,86,Notre Dame,3,LAR,HB
Marshon Lattimore,29,2,72,192,86,Ohio State,8,WAS,CB
Sam LaPorta,24,87,75,245,86,Iowa,2,DET,TE
Tariq Woolen,26,27,76,210,86,UTSA,3,SEA,CB
Taylor Moton,31,72,77,325,86,W. Michigan,8,CAR,RT
Tony Pollard,28,20,72,209,86,Memphis,6,TEN,HB
Zach Allen,28,99,77,285,86,Boston College,6,DEN,DT
A.J. Cole,29,6,76,220,85,N.C. State,6,LV,P
Aaron Jones,30,33,69,208,85,UTEP,8,MIN,HB
Baker Mayfield,30,6,73,215,85,Oklahoma,7,TB,QB
Bernhard Raimann,27,79,78,303,85,Central Michigan,3,IND,LT
Byron Murphy Jr,27,7,71,190,85,Washington,6,MIN,CB
Carlton Davis III,28,7,73,206,85,Auburn,7,NE,CB
Chris Boswell,34,9,74,185,85,Rice,11,PIT,K
Chris Godwin Jr,29,14,73,208,85,Penn State,8,TB,WR
Christian Benford,24,47,73,205,85,Villanova,3,BUF,CB
Chuba Hubbard,26,30,73,210,85,Oklahoma St.,4,CAR,HB
Courtland Sutton,29,14,76,216,85,SMU,7,DEN,WR
D.J. Reader,31,98,75,335,85,Clemson,9,DET,DT
D.K. Metcalf,27,4,76,235,85,Ole Miss,6,PIT,WR
Devin Lloyd,26,0,75,235,85,Utah,3,JAX,ROLB
Evan Engram,30,1,75,240,85,Ole Miss,8,DEN,TE
Grover Stewart,31,90,76,315,85,Albany St.,8,IND,DT
James Conner,30,6,73,233,85,Pittsburgh,8,ARI,HB
Jayden Daniels,24,5,76,210,85,LSU,1,WAS,QB
Jaylen Waddle,26,17,70,182,85,Alabama,4,MIA,WR
Joel Bitonio,33,75,76,320,85,Nevada,11,CLV,LG
Joey Bosa,30,97,77,280,85,Ohio State,9,BUF,RE
Josh Sweat,28,10,77,265,85,Florida State,7,ARI,RE
Kevin Dotson,28,69,76,321,85,UL Lafayette,5,LAR,RG
Kobie Turner,26,91,74,288,85,Wake Forest,2,LAR,DT
Milton Williams,26,97,75,290,85,LA. Tech,4,NE,DT
Quinyon Mitchell,24,27,72,195,85,Toledo,1,PHI,CB
Spencer Brown,27,79,80,311,85,Northern Iowa,4,BUF,RT
Trent Brown,32,77,80,370,85,Florida,10,HST,RT
Zay Flowers,24,4,69,182,85,Boston College,2,BLT,WR
Alijah Vera-Tucker,26,75,77,308,84,USC,4,,RG
Alvin Kamara,30,41,70,215,84,Tennessee,8,NO,HB
Breece Hall,24,20,71,220,84,Iowa State,3,,HB
Brian Thomas Jr,22,7,75,209,84,LSU,1,JAX,WR
Brock Purdy,25,13,73,220,84,Iowa State,3,SF,QB
C.J. Gardner-Johnson,27,23,71,208,84,Florida,6,HST,SS
Dak Prescott,32,4,74,238,84,Mississippi St.,9,DAL,QB
Darius Slay Jr,34,23,72,190,84,Mississippi St.,12,PIT,CB
David Montgomery,28,5,70,222,84,Iowa State,6,DET,HB
Drue Tranquill,30,23,74,228,84,Notre Dame,6,KC,ROLB
George Karlaftis,24,56,76,263,84,Purdue,3,KC,LE
Jack Campbell,25,46,77,249,84,Iowa,2,DET,MLB
Jerry Jeudy,26,3,73,193,84,Alabama,5,CLV,WR
Jordan Addison,23,3,71,175,84,USC,2,MIN,WR
L'Jarius Sneed,28,38,73,192,84,LA. Tech,5,TEN,CB
Ladd McConkey,23,15,72,186,84,Georgia,1,LAC,WR
Leo Chenal,24,54,75,250,84,Wisconsin,3,KC,LOLB
Matt Milano,31,58,72,223,84,Boston College,8,BUF,ROLB
Nik Bonitto,25,15,75,240,84,Oklahoma,3,DEN,RE
